anime_id,genre
32281,Romance
5114,Fantasy
28977,Sci-Fi
9253,Sci-Fi
9969,Sci-Fi
32935,Shounen
11061,Shounen
820,Sci-Fi
15335,Sci-Fi
15417,Sci-Fi
4181,Romance
28851,Drama
918,Sci-Fi
2904,Sci-Fi
28891,Shounen
199,Drama
23273,Romance
24701,Mystery
12355,Fantasy
1575,Sci-Fi
263,Shounen
44,Romance
1,Sci-Fi
30276,Sci-Fi
164,
7311,Sci-Fi
17074,Romance
21939,Mystery
457,Mystery
2001,Comedy
245,Shounen
32983,Fantasy
5258,Shounen
28957,Mystery
11665,Fantasy
431,Fantasy
11741,Fantasy
31757,Mystery
19,Mystery
12365,Romance
1535,Mystery
32366,Comedy
30654,Comedy
20583,Shounen
19647,Shounen
4282,Romance
10379,Fantasy
22135,
21329,Mystery
31043,Mystery
7785,Mystery
3297,Shounen
30709,Fantasy
6114,Drama
31240,Fantasy
4565,Sci-Fi
5300,Fantasy
9989,Drama
24415,Shounen
11577,Sci-Fi
10408,Romance
28171,
32995,Comedy
21899,Sci-Fi
26055,Shounen
7472,Sci-Fi
777,
22535,Sci-Fi
28735,Drama
12431,Sci-Fi
28805,
578,Drama
16894,Shounen
5028,Romance
21,Shounen
801,Sci-Fi
31933,Shounen
5205,Romance
17389,
170,Shounen
10162,
18617,
32182,Comedy
877,Romance
2251,Mystery
24687,Mystery
16498,Shounen
10030,Romance
5941,Romance
30346,Romance
3784,
13125,Sci-Fi
12029,Sci-Fi
14397,Drama
10087,Fantasy
14719,Shounen
9756,Drama
10165,Comedy
13601,
22789,Comedy
30230,Shounen
18115,Fantasy
11981,Drama
11917,Drama
205,Comedy
32282,
6594,
11979,Drama
7655,Drama
2246,Mystery
25835,Comedy
2921,Drama
136,Shounen
30503,Shounen
12531,Romance
523,Comedy
467,Sci-Fi
572,
19815,Fantasy
2559,Drama
392,Fantasy
486,
11771,Shounen
1698,Romance
5341,Fantasy
25781,Fantasy
10863,Sci-Fi
28701,Shounen
5420,Drama
9260,Mystery
32,Drama
4224,Romance
2236,Romance
2685,Romance
31181,Mystery
45,Romance
2418,
1365,Mystery
22297,Shounen
627,Shounen
10937,Shounen
23755,Shounen
4081,Fantasy
