anime_id,name,genre,_type,episodes,rating,img_link
1,Cowboy Bebop,Sci-Fi,TV,26,8.82,https://cdn.myanimelist.net/images/anime/4/19644.jpg
5,Cowboy Bebop: Tengoku no Tobira,Sci-Fi,Movie,1,8.4,https://cdn.myanimelist.net/images/anime/1439/93480.jpg
6,Trigun,Comedy,TV,26,8.32,https://cdn.myanimelist.net/images/anime/7/20310.jpg
7,Witch Hunter Robin,Mystery,TV,26,7.36,https://cdn.myanimelist.net/images/anime/10/19969.jpg
8,Beet the Vandel Buster,Shounen,TV,52,7.06,https://cdn.myanimelist.net/images/anime/7/21569.jpg
15,Eyeshield 21,Shounen,TV,145,8.08,https://cdn.myanimelist.net/images/anime/1079/133529.jpg
16,Hachimitsu to Clover,Drama,TV,24,8.18,https://cdn.myanimelist.net/images/anime/1301/133577.jpg
17,Hungry Heart: Wild Striker,Shounen,TV,52,7.74,https://cdn.myanimelist.net/images/anime/12/49655.jpg
18,Initial D Fourth Stage,Drama,TV,24,8.24,https://cdn.myanimelist.net/images/anime/9/10521.jpg
19,Monster,Mystery,TV,74,8.72,https://cdn.myanimelist.net/images/anime/10/18793.jpg
20,Naruto,Shounen,TV,220,7.81,https://cdn.myanimelist.net/images/anime/13/17405.jpg
21,One Piece,Shounen,TV,Unknown,8.58,https://cdn.myanimelist.net/images/anime/1244/138851.jpg
22,Prince of Tennis,Shounen,TV,178,8.04,https://cdn.myanimelist.net/images/anime/6/21624.jpg
23,Ring ni Kakero 1,Shounen,TV,12,6.7,https://cdn.myanimelist.net/images/anime/1146/124743.jpg
24,School Rumble,Romance,TV,26,8.06,https://cdn.myanimelist.net/images/anime/4/75488.jpg
25,Sunabouzu,Sci-Fi,TV,24,7.55,https://cdn.myanimelist.net/images/anime/6/75536.jpg
26,Texhnolyze,Drama,TV,22,7.78,https://cdn.myanimelist.net/images/anime/1027/131977.jpg
28,Yakitate!! Japan,Comedy,TV,69,8.05,https://cdn.myanimelist.net/images/anime/3/76432.jpg
29,Zipang,Sci-Fi,TV,26,7.56,https://cdn.myanimelist.net/images/anime/13/75740.jpg
30,Neon Genesis Evangelion,Drama,TV,26,8.32,https://cdn.myanimelist.net/images/anime/1314/108941.jpg
31,Neon Genesis Evangelion: Death &amp; Rebirth,Drama,Movie,1,7.51,https://cdn.myanimelist.net/images/anime/1993/113122.jpg
32,Neon Genesis Evangelion: The End of Evangelion,Drama,Movie,1,8.45,https://cdn.myanimelist.net/images/anime/1404/98182.jpg
33,Berserk,Romance,TV,25,8.4,https://cdn.myanimelist.net/images/anime/1384/119988.jpg
43,Ghost in the Shell,Sci-Fi,Movie,1,8.34,https://cdn.myanimelist.net/images/anime/10/82594.jpg
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Romance,OVA,4,8.83,https://cdn.myanimelist.net/images/anime/1656/137618.jpg
45,Rurouni Kenshin: Meiji Kenkaku Romantan,Romance,TV,94,8.43,https://cdn.myanimelist.net/images/anime/1346/119505.jpg
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Drama,Movie,1,7.65,https://cdn.myanimelist.net/images/anime/4/47845.jpg
47,Akira,Sci-Fi,Movie,1,8.15,https://cdn.myanimelist.net/images/anime/1408/114012.jpg
48,.hack//Sign,Mystery,TV,26,7.14,https://cdn.myanimelist.net/images/anime/1443/94665.jpg
49,Aa! Megami-sama!,Romance,OVA,5,7.41,https://cdn.myanimelist.net/images/anime/11/71215.jpg
50,Aa! Megami-sama! (TV),Romance,TV,24,7.45,https://cdn.myanimelist.net/images/anime/1976/99376.jpg
51,Tenshi Kinryouku,Romance,OVA,3,6.46,https://cdn.myanimelist.net/images/anime/11/45208.jpg
52,Kidou Tenshi Angelic Layer,Shounen,TV,26,7.32,https://cdn.myanimelist.net/images/anime/1192/113699.jpg
