anime_id,name,genre,_type,episodes,rating,img_link
6,Trigun,Comedy,TV,26,8.32,https://cdn.myanimelist.net/images/anime/7/20310.jpg
28,Yakitate!! Japan,Comedy,TV,69,8.05,https://cdn.myanimelist.net/images/anime/3/76432.jpg
66,Azumanga Daioh,Comedy,TV,26,8.06,https://cdn.myanimelist.net/images/anime/1066/117358.jpg
71,Full Metal Panic!,Comedy,TV,24,7.81,https://cdn.myanimelist.net/images/anime/2/75259.jpg
72,Full Metal Panic? Fumoffu,Comedy,TV,12,8.21,https://cdn.myanimelist.net/images/anime/4/75260.jpg
74,Gakuen Alice,Comedy,TV,26,7.8,https://cdn.myanimelist.net/images/anime/4/18118.jpg
109,Bakuretsu Tenshi,Comedy,TV,24,6.94,https://cdn.myanimelist.net/images/anime/10/22647.jpg
111,Corrector Yui,Comedy,TV,52,6.9,https://cdn.myanimelist.net/images/anime/1696/105659.jpg
114,Sakigake!! Cromartie Koukou,Comedy,TV,26,8.02,https://cdn.myanimelist.net/images/anime/1782/130913.jpg
115,El Hazard: The Alternative World,Comedy,TV,13,6.94,https://cdn.myanimelist.net/images/anime/1843/139490.jpg
118,El Hazard 2: The Magnificent World,Comedy,OVA,4,6.99,https://cdn.myanimelist.net/images/anime/11/2796.jpg
161,Peace Maker Kurogane,Comedy,TV,24,7.43,https://cdn.myanimelist.net/images/anime/10/77408.jpg
192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,Comedy,Special,1,7.31,https://cdn.myanimelist.net/images/anime/12/82632.jpg
204,Yumeria,Comedy,TV,12,6.25,https://cdn.myanimelist.net/images/anime/1135/128536.jpg
205,Samurai Champloo,Comedy,TV,26,8.5,https://cdn.myanimelist.net/images/anime/1375/121599.jpg
215,Pia Carrot e Youkoso!! 2 DX,Comedy,OVA,6,6.52,https://cdn.myanimelist.net/images/anime/11/50781.jpg
216,Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,Comedy,Movie,1,6.11,https://cdn.myanimelist.net/images/anime/1860/116096.jpg
227,FLCL,Comedy,OVA,6,8.06,https://cdn.myanimelist.net/images/anime/7/77356.jpg
229,Ninin ga Shinobuden,Comedy,TV,12,7.03,https://cdn.myanimelist.net/images/anime/8/6591.jpg
230,Air Master,Comedy,TV,27,7.14,https://cdn.myanimelist.net/images/anime/2/21019.jpg
240,Genshiken,Comedy,TV,12,7.76,https://cdn.myanimelist.net/images/anime/1890/94707.jpg
253,Jungle wa Itsumo Hare nochi Guu,Comedy,TV,26,7.97,https://cdn.myanimelist.net/images/anime/10/24555.jpg
254,Jungle wa Itsumo Hare nochi Guu Deluxe,Comedy,OVA,6,7.95,https://cdn.myanimelist.net/images/anime/3/10306.jpg
255,Jungle wa Itsumo Hare nochi Guu Final,Comedy,OVA,7,7.78,https://cdn.myanimelist.net/images/anime/6/14520.jpg
268,Golden Boy,Comedy,OVA,6,8.05,https://cdn.myanimelist.net/images/anime/3/62867.jpg
275,LoveÃ¢â„¢Â¥Love?,Comedy,TV,9,6.05,https://cdn.myanimelist.net/images/anime/10/75454.jpg
281,Akane Maniax,Comedy,OVA,3,5.83,https://cdn.myanimelist.net/images/anime/6/5237.jpg
289,Comic Party,Comedy,TV,13,6.68,https://cdn.myanimelist.net/images/anime/1809/130426.jpg
297,Grenadier: Hohoemi no Senshi,Comedy,TV,12,6.83,https://cdn.myanimelist.net/images/anime/1691/114822.jpg
301,Cinderella Boy,Comedy,TV,13,6.38,https://cdn.myanimelist.net/images/anime/7/89194.jpg
303,Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,Comedy,TV,48,7.04,https://cdn.myanimelist.net/images/anime/1/303.jpg
305,Abashiri Ikka,Comedy,OVA,4,5.64,https://cdn.myanimelist.net/images/anime/1492/94195.jpg
309,Akahori Gedou Hour Rabuge,Comedy,TV,13,6.3,https://cdn.myanimelist.net/images/anime/4/75541.jpg
310,"Chiisana Obake Acchi, Kocchi, Socchi",Comedy,TV,50,6.17,https://cdn.myanimelist.net/images/anime/1893/100728.jpg
321,Najica Dengeki Sakusen,Comedy,TV,12,6.08,https://cdn.myanimelist.net/images/anime/11/22210.jpg
324,Mobile Police Patlabor: On Television,Comedy,TV,47,7.72,https://cdn.myanimelist.net/images/anime/7/59293.jpg
350,Ojamajo Doremi,Comedy,TV,51,7.19,https://cdn.myanimelist.net/images/anime/1069/133679.jpg
351,Ojamajo Doremi Sharp,Comedy,TV,49,7.32,https://cdn.myanimelist.net/images/anime/1215/121240.jpg
353,Ojamajo Doremi Dokkaan!,Comedy,TV,51,7.52,https://cdn.myanimelist.net/images/anime/2/40407.jpg
354,UGÃ¢Ëœâ€ Ultimate Girls,Comedy,TV,12,5.73,https://cdn.myanimelist.net/images/anime/1/2455.jpg
357,Bokusatsu Tenshi Dokuro-chan,Comedy,OVA,4,6.85,https://cdn.myanimelist.net/images/anime/10/13210.jpg
366,AIKa,Comedy,OVA,7,6.04,https://cdn.myanimelist.net/images/anime/11/61673.jpg
383,Galaxy Angel,Comedy,TV,24,7.14,https://cdn.myanimelist.net/images/anime/4/6075.jpg
403,Hanaukyou Maid-tai,Comedy,TV,12,6.72,https://cdn.myanimelist.net/images/anime/12/3066.jpg
412,Kore ga Watashi no Goshujinsama,Comedy,TV,12,6.69,https://cdn.myanimelist.net/images/anime/11/80500.jpg
415,Tonari no Yamada-kun,Comedy,Movie,1,7.36,https://cdn.myanimelist.net/images/anime/6/64545.jpg
418,Ranma Ã‚Â½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!,Comedy,Movie,1,7.39,https://cdn.myanimelist.net/images/anime/13/76023.jpg
424,Dirty Pair,Comedy,TV,24,7.22,https://cdn.myanimelist.net/images/anime/2/20673.jpg
425,Shiritsu Araiso Koutougakkou Seitokai Shikkoubu,Comedy,OVA,2,6.62,https://cdn.myanimelist.net/images/anime/7/31701.jpg
426,Final Fantasy,Comedy,OVA,4,6.25,https://cdn.myanimelist.net/images/anime/10/88663.jpg
456,Gokujou Seitokai,Comedy,TV,26,7.06,https://cdn.myanimelist.net/images/anime/7/18714.jpg
485,Damekko Doubutsu,Comedy,TV,26,7.43,https://cdn.myanimelist.net/images/anime/1/485.jpg
488,Ichigo Mashimaro,Comedy,TV,12,7.77,https://cdn.myanimelist.net/images/anime/10/11042.jpg
490,Paniponi Dash!,Comedy,TV,26,7.57,https://cdn.myanimelist.net/images/anime/1581/138842.jpg
505,Fushigiboshi noÃ¢Ëœâ€ Futagohime,Comedy,TV,51,7.45,https://cdn.myanimelist.net/images/anime/1193/133527.jpg
508,Tottoko Hamtarou,Comedy,TV,296,7.03,https://cdn.myanimelist.net/images/anime/3/21562.jpg
523,Tonari no Totoro,Comedy,Movie,1,8.48,https://cdn.myanimelist.net/images/anime/4/75923.jpg
533,Sensei no Ojikan: Doki Doki School Hours,Comedy,TV,13,6.81,https://cdn.myanimelist.net/images/anime/9/65565.jpg
545,Mousou Kagaku Series: Wandaba Style,Comedy,TV,12,6.18,https://cdn.myanimelist.net/images/anime/6/14824.jpg
579,Battle Programmer Shirase,Comedy,TV,15,7.07,https://cdn.myanimelist.net/images/anime/12/2867.jpg
580,Kogepan,Comedy,TV,10,7.04,https://cdn.myanimelist.net/images/anime/13/63859.jpg
581,Honoo no Labyrinth,Comedy,OVA,2,6.38,https://cdn.myanimelist.net/images/anime/3/20329.jpg
582,Sexy Commando Gaiden: Sugoiyo!! Masaru-san,Comedy,TV,48,7.9,https://cdn.myanimelist.net/images/anime/13/39595.jpg
596,Chobits: Chibits,Comedy,Special,1,7.1,https://cdn.myanimelist.net/images/anime/9/34375.jpg
599,Yuugen Kaisha,Comedy,OVA,4,6.57,https://cdn.myanimelist.net/images/anime/1932/96386.jpg
601,Nekojiru-sou,Comedy,OVA,1,7.46,https://cdn.myanimelist.net/images/anime/5/84241.jpg
606,Kazemakase Tsukikage Ran,Comedy,TV,13,7.18,https://cdn.myanimelist.net/images/anime/5/16745.jpg
607,Otogi Juushi Akazukin,Comedy,TV,39,7.09,https://cdn.myanimelist.net/images/anime/7/50145.jpg
615,Nurse Witch Komugi-chan Magikarte,Comedy,OVA,5,6.77,https://cdn.myanimelist.net/images/anime/5/77618.jpg
624,Mouse,Comedy,TV,12,6.17,https://cdn.myanimelist.net/images/anime/5/75507.jpg
625,Moekan The Animation,Comedy,OVA,3,5.81,https://cdn.myanimelist.net/images/anime/1008/131352.jpg
649,Hanaukyou Maid-tai: La Verite,Comedy,TV,12,6.91,https://cdn.myanimelist.net/images/anime/8/10518.jpg
650,Gunsmith Cats,Comedy,OVA,3,7.27,https://cdn.myanimelist.net/images/anime/11/2769.jpg
652,Galaxy Angel Z,Comedy,TV,9,7.29,https://cdn.myanimelist.net/images/anime/5/29793.jpg
653,Galaxy Angel 3,Comedy,TV,26,7.44,https://cdn.myanimelist.net/images/anime/8/2757.jpg
654,Galaxy Angel 3 Specials,Comedy,Special,2,7.37,https://cdn.myanimelist.net/images/anime/8/6758.jpg
655,Galaxy Angel 4,Comedy,TV,13,7.37,https://cdn.myanimelist.net/images/anime/9/75307.jpg
659,Azumanga Daioh: Gekijou Tanpen,Comedy,Special,1,7.11,https://cdn.myanimelist.net/images/anime/1147/133613.jpg
668,Koi Koi 7,Comedy,TV,13,5.96,https://cdn.myanimelist.net/images/anime/1691/135409.jpg
673,Mai-HiME Specials,Comedy,Special,27,7.06,https://cdn.myanimelist.net/images/anime/11/3569.jpg
681,Tenbatsu Angel RabbieÃ¢Ëœâ€ ,Comedy,OVA,1,5.27,https://cdn.myanimelist.net/images/anime/11/3789.jpg
705,Chou Henshin Cosprayers vs. Ankoku Uchuu Shougun the Movie,Comedy,Movie,1,4.88,https://cdn.myanimelist.net/images/anime/9/4490.jpg
706,Comic Party Revolution,Comedy,TV,13,6.68,https://cdn.myanimelist.net/images/anime/1100/130425.jpg
707,Comic Party Specials,Comedy,Special,4,6.54,https://cdn.myanimelist.net/images/anime/11/5319.jpg
712,Zoids Genesis,Comedy,TV,50,7.38,https://cdn.myanimelist.net/images/anime/1906/109746.jpg
722,BabyÃ¢Ëœâ€ Love,Comedy,OVA,1,6.45,https://cdn.myanimelist.net/images/anime/13/10176.jpg
727,Kingyo Chuuihou!,Comedy,TV,54,6.91,https://cdn.myanimelist.net/images/anime/13/26657.jpg
749,Nanami-chan,Comedy,TV,12,6.4,https://cdn.myanimelist.net/images/anime/5/64205.jpg
750,Binchou-tan,Comedy,TV,12,7,https://cdn.myanimelist.net/images/anime/10/61143.jpg
759,Tokyo Godfathers,Comedy,Movie,1,8.32,https://cdn.myanimelist.net/images/anime/1480/132791.jpg
761,Naruto: Akaki Yotsuba no Clover wo Sagase,Comedy,Special,1,6.55,https://cdn.myanimelist.net/images/anime/12/11240.jpg
763,Zoids,Comedy,TV,67,7.48,https://cdn.myanimelist.net/images/anime/1908/139655.jpg
765,Chou Henshin Cosprayers Specials,Comedy,Special,3,5.13,https://cdn.myanimelist.net/images/anime/6/4489.jpg
767,Burn Up!,Comedy,OVA,1,6.24,https://cdn.myanimelist.net/images/anime/4/2888.jpg
773,Tenamonya Voyagers,Comedy,OVA,4,6.3,https://cdn.myanimelist.net/images/anime/7/3788.jpg
