anime_id,name,genre,_type,episodes,rating,img_link
16,Hachimitsu to Clover,Drama,TV,24,8.18,https://cdn.myanimelist.net/images/anime/1301/133577.jpg
18,Initial D Fourth Stage,Drama,TV,24,8.24,https://cdn.myanimelist.net/images/anime/9/10521.jpg
26,Texhnolyze,Drama,TV,22,7.78,https://cdn.myanimelist.net/images/anime/1027/131977.jpg
30,Neon Genesis Evangelion,Drama,TV,26,8.32,https://cdn.myanimelist.net/images/anime/1314/108941.jpg
31,Neon Genesis Evangelion: Death &amp; Rebirth,Drama,Movie,1,7.51,https://cdn.myanimelist.net/images/anime/1993/113122.jpg
32,Neon Genesis Evangelion: The End of Evangelion,Drama,Movie,1,8.45,https://cdn.myanimelist.net/images/anime/1404/98182.jpg
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Drama,Movie,1,7.65,https://cdn.myanimelist.net/images/anime/4/47845.jpg
62,D.C.: Da Capo,Drama,TV,26,6.93,https://cdn.myanimelist.net/images/anime/4/73936.jpg
64,Rozen Maiden,Drama,TV,12,7.57,https://cdn.myanimelist.net/images/anime/1424/108431.jpg
65,Rozen Maiden: TrÃƒÂ¤umend,Drama,TV,12,7.78,https://cdn.myanimelist.net/images/anime/4/10242.jpg
75,Soukyuu no Fafner: Dead Aggressor,Drama,TV,25,7.38,https://cdn.myanimelist.net/images/anime/3/50365.jpg
76,Mahou Shoujo Lyrical Nanoha,Drama,TV,13,7.52,https://cdn.myanimelist.net/images/anime/1052/136283.jpg
77,Mahou Shoujo Lyrical Nanoha A&#039;s,Drama,TV,13,8.1,https://cdn.myanimelist.net/images/anime/4/6767.jpg
110,Chuuka Ichiban!,Drama,TV,52,7.69,https://cdn.myanimelist.net/images/anime/6/75283.jpg
126,Futakoi Alternative,Drama,TV,13,7.02,https://cdn.myanimelist.net/images/anime/6/16733.jpg
134,Gunslinger Girl,Drama,TV,13,7.55,https://cdn.myanimelist.net/images/anime/5/3088.jpg
171,Strange Dawn,Drama,TV,13,6.59,https://cdn.myanimelist.net/images/anime/12/74782.jpg
185,Initial D First Stage,Drama,TV,26,8.23,https://cdn.myanimelist.net/images/anime/1384/127972.jpg
186,Initial D Second Stage,Drama,TV,13,8.12,https://cdn.myanimelist.net/images/anime/8/12750.jpg
187,Initial D Third Stage,Drama,Movie,1,7.98,https://cdn.myanimelist.net/images/anime/13/40397.jpg
196,OnegaiÃ¢Ëœâ€ Twins,Drama,TV,12,7.05,https://cdn.myanimelist.net/images/anime/1621/100229.jpg
199,Sen to Chihiro no Kamikakushi,Drama,Movie,1,8.93,https://cdn.myanimelist.net/images/anime/6/79597.jpg
201,Video Girl Ai,Drama,OVA,6,7.31,https://cdn.myanimelist.net/images/anime/2/22130.jpg
242,Gokusen,Drama,TV,13,7.48,https://cdn.myanimelist.net/images/anime/6/25273.jpg
258,Hitsuji no Uta,Drama,OVA,4,6.43,https://cdn.myanimelist.net/images/anime/7/18066.jpg
272,Noir,Drama,TV,26,7.41,https://cdn.myanimelist.net/images/anime/1054/96577.jpg
283,Akage no Anne,Drama,TV,50,7.6,https://cdn.myanimelist.net/images/anime/1365/115824.jpg
285,Argento Soma,Drama,TV,25,6.94,https://cdn.myanimelist.net/images/anime/8/9440.jpg
302,Mirai Shounen Conan,Drama,TV,26,8.16,https://cdn.myanimelist.net/images/anime/6/17529.jpg
312,Ace wo Nerae!: Final Stage,Drama,OVA,12,6.61,https://cdn.myanimelist.net/images/anime/6/71784.jpg
314,Ace wo Nerae! 2,Drama,OVA,13,6.81,https://cdn.myanimelist.net/images/anime/6/71785.jpg
333,Mama wa Shougaku 4 Nensei,Drama,TV,51,7.31,https://cdn.myanimelist.net/images/anime/12/87408.jpg
361,Memories Off,Drama,OVA,3,6.05,https://cdn.myanimelist.net/images/anime/1497/127514.jpg
362,Memories Off 2nd,Drama,OVA,3,6.45,https://cdn.myanimelist.net/images/anime/2/3290.jpg
363,Memories Off 3.5,Drama,OVA,4,6.45,https://cdn.myanimelist.net/images/anime/1802/127516.jpg
376,Elfen Lied Special,Drama,Special,1,7.34,https://cdn.myanimelist.net/images/anime/1936/121639.jpg
416,Kurenai no Buta,Drama,Movie,1,8.03,https://cdn.myanimelist.net/images/anime/1728/138709.jpg
428,Kaleido Star: Aratanaru Tsubasa - Extra Stage,Drama,OVA,1,7.68,https://cdn.myanimelist.net/images/anime/10/23761.jpg
429,Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,Drama,OVA,1,8,https://cdn.myanimelist.net/images/anime/7/28863.jpg
437,Perfect Blue,Drama,Movie,1,8.23,https://cdn.myanimelist.net/images/anime/1254/134212.jpg
438,Phantom The Animation,Drama,OVA,3,6.66,https://cdn.myanimelist.net/images/anime/12/75176.jpg
439,RG Veda,Drama,OVA,2,6.28,https://cdn.myanimelist.net/images/anime/1487/112102.jpg
446,WeiÃƒÅ¸ Kreuz GlÃƒÂ¼hen,Drama,TV,13,6.72,https://cdn.myanimelist.net/images/anime/9/23693.jpg
447,WeiÃƒÅ¸ Kreuz,Drama,TV,25,6.84,https://cdn.myanimelist.net/images/anime/13/23697.jpg
473,Tide-Line Blue,Drama,TV,12,6.77,https://cdn.myanimelist.net/images/anime/9/75832.jpg
475,Hotori: Tada Saiwai wo Koinegau,Drama,Movie,1,7.14,https://cdn.myanimelist.net/images/anime/1010/116695.jpg
489,Kamichu!,Drama,TV,12,7.51,https://cdn.myanimelist.net/images/anime/3/24641.jpg
503,Eien no Aselia,Drama,OVA,2,5.67,https://cdn.myanimelist.net/images/anime/1405/112180.jpg
524,OnegaiÃ¢Ëœâ€ Twins: Natsu wa Owaranai,Drama,OVA,1,7.14,https://cdn.myanimelist.net/images/anime/6/67017.jpg
559,RahXephon Interlude: Her and Herself/Thatness and Thereness,Drama,OVA,1,6.5,https://cdn.myanimelist.net/images/anime/7/75739.jpg
560,Soukyuu no Fafner: Right of Left - Single Program,Drama,Special,1,7.49,https://cdn.myanimelist.net/images/anime/8/50369.jpg
565,Steamboy,Drama,Movie,1,7.45,https://cdn.myanimelist.net/images/anime/11/21278.jpg
570,Jin-Rou,Drama,Movie,1,7.87,https://cdn.myanimelist.net/images/anime/1323/103343.jpg
578,Hotaru no Haka,Drama,Movie,1,8.58,https://cdn.myanimelist.net/images/anime/7/75808.jpg
587,Hanbun no Tsuki ga Noboru Sora,Drama,TV,6,7.69,https://cdn.myanimelist.net/images/anime/10/75201.jpg
589,Ginga Nagareboshi Gin,Drama,TV,21,8.14,https://cdn.myanimelist.net/images/anime/3/47461.jpg
597,Neko no Ongaeshi,Drama,Movie,1,7.98,https://cdn.myanimelist.net/images/anime/1176/138720.jpg
600,Legend of Duo,Drama,TV,12,5.13,https://cdn.myanimelist.net/images/anime/7/23556.jpg
610,Popotan,Drama,TV,12,6.46,https://cdn.myanimelist.net/images/anime/11/34457.jpg
635,Juubee-chan: Lovely Gantai no Himitsu,Drama,TV,13,6.73,https://cdn.myanimelist.net/images/anime/13/60987.jpg
636,Juubee-chan 2: Siberia Yagyuu no Gyakushuu,Drama,TV,13,6.99,https://cdn.myanimelist.net/images/anime/7/20768.jpg
671,Lemon Angel Project,Drama,TV,13,6.8,https://cdn.myanimelist.net/images/anime/5/36417.jpg
675,One: Kagayaku Kisetsu e,Drama,OVA,4,5.24,https://cdn.myanimelist.net/images/anime/5/25086.jpg
676,Refrain Blue,Drama,OVA,3,5.97,https://cdn.myanimelist.net/images/anime/10/75869.jpg
688,Uta Kata,Drama,TV,12,6.88,https://cdn.myanimelist.net/images/anime/3/25392.jpg
689,Uta Kata Special,Drama,Special,1,7.09,https://cdn.myanimelist.net/images/anime/7/24068.jpg
690,Kyuuketsuhime Miyu (TV),Drama,TV,26,7.24,https://cdn.myanimelist.net/images/anime/1427/134363.jpg
710,Rec,Drama,TV,9,7.46,https://cdn.myanimelist.net/images/anime/1940/124243.jpg
723,Candy Candy (Movie),Drama,Movie,1,6.84,https://cdn.myanimelist.net/images/anime/11/66847.jpg
725,First Kiss Monogatari,Drama,OVA,1,5.21,https://cdn.myanimelist.net/images/anime/1937/113697.jpg
731,Interstella5555: The 5tory of The 5ecret 5tar 5ystem,Drama,Music,1,8.17,https://cdn.myanimelist.net/images/anime/5/82786.jpg
752,Osakana wa Ami no Naka,Drama,OVA,1,5.12,https://cdn.myanimelist.net/images/anime/2/33631.jpg
754,Yuki no Joou,Drama,TV,36,7.19,https://cdn.myanimelist.net/images/anime/2/26180.jpg
757,Kaze wo Mita Shounen,Drama,Movie,1,6.86,https://cdn.myanimelist.net/images/anime/5/27052.jpg
766,Kishin Houkou Demonbane,Drama,OVA,1,6.21,https://cdn.myanimelist.net/images/anime/1/766.jpg
770,Pale Cocoon,Drama,OVA,1,7.53,https://cdn.myanimelist.net/images/anime/2/3211.jpg
782,Gasaraki,Drama,TV,25,6.74,https://cdn.myanimelist.net/images/anime/1622/99582.jpg
785,Otaku no Video,Drama,OVA,2,7.22,https://cdn.myanimelist.net/images/anime/1217/117018.jpg
795,Oniisama e...,Drama,TV,39,7.88,https://cdn.myanimelist.net/images/anime/12/18531.jpg
798,Yomigaeru Sora: Rescue Wings,Drama,TV,12,7.53,https://cdn.myanimelist.net/images/anime/1255/120063.jpg
799,Kokoro Toshokan,Drama,TV,13,6.62,https://cdn.myanimelist.net/images/anime/3/21207.jpg
812,Chikyuu Shoujo Arjuna,Drama,TV,13,6.98,https://cdn.myanimelist.net/images/anime/1294/133834.jpg
821,Initial D Battle Stage,Drama,OVA,1,7.63,https://cdn.myanimelist.net/images/anime/2/13168.jpg
822,Initial D Extra Stage,Drama,OVA,2,7.48,https://cdn.myanimelist.net/images/anime/8/13169.jpg
825,King of Fighters: Another Day,Drama,ONA,4,6.47,https://cdn.myanimelist.net/images/anime/3/12676.jpg
835,Sister Princess: Re Pure,Drama,TV,13,6.37,https://cdn.myanimelist.net/images/anime/2/25293.jpg
838,Narutaru: Mukuro Naru Hoshi Tama Taru Ko,Drama,TV,13,6.28,https://cdn.myanimelist.net/images/anime/10/12023.jpg
863,Joshikousei: Girl&#039;s High,Drama,TV,12,6.69,https://cdn.myanimelist.net/images/anime/5/23224.jpg
885,Tenshi no Tamago,Drama,OVA,1,7.56,https://cdn.myanimelist.net/images/anime/11/63181.jpg
915,Ginga Densetsu Weed,Drama,TV,26,7.31,https://cdn.myanimelist.net/images/anime/5/74037.jpg
