anime_id,name,genre,_type,episodes,rating,img_link
55,Arc the Lad,Fantasy,TV,26,6.62,https://cdn.myanimelist.net/images/anime/3/49041.jpg
69,Cluster Edge,Fantasy,TV,25,6.48,https://cdn.myanimelist.net/images/anime/1980/103243.jpg
99,Mai-Otome,Fantasy,TV,26,7.4,https://cdn.myanimelist.net/images/anime/2/46897.jpg
108,Ou Dorobou Jing in Seventh Heaven,Fantasy,OVA,3,7.43,https://cdn.myanimelist.net/images/anime/5/30325.jpg
116,El Hazard: The Wanderers,Fantasy,TV,26,7.1,https://cdn.myanimelist.net/images/anime/13/24439.jpg
117,El Hazard: The Magnificent World,Fantasy,OVA,7,7.44,https://cdn.myanimelist.net/images/anime/1893/128632.jpg
121,Fullmetal Alchemist,Fantasy,TV,51,8.33,https://cdn.myanimelist.net/images/anime/10/75815.jpg
130,Saiyuuki Reload,Fantasy,TV,25,7.54,https://cdn.myanimelist.net/images/anime/1037/134418.jpg
131,Saiyuuki Reload Gunlock,Fantasy,TV,26,7.56,https://cdn.myanimelist.net/images/anime/1348/134419.jpg
153,Juuni Kokuki,Fantasy,TV,45,8.16,https://cdn.myanimelist.net/images/anime/6/50859.jpg
160,"Ima, Soko ni Iru Boku",Fantasy,TV,13,7.81,https://cdn.myanimelist.net/images/anime/1094/109008.jpg
163,Power Stone,Fantasy,TV,26,6.57,https://cdn.myanimelist.net/images/anime/1110/98247.jpg
206,Lodoss-tou Senki: Eiyuu Kishi Den,Fantasy,TV,27,7.25,https://cdn.myanimelist.net/images/anime/1065/92495.jpg
210,Ranma Ã‚Â½,Fantasy,TV,161,7.87,https://cdn.myanimelist.net/images/anime/13/6441.jpg
247,Harukanaru Toki no Naka de: Hachiyou Shou,Fantasy,TV,26,7.18,https://cdn.myanimelist.net/images/anime/7/7227.jpg
251,Kyou kara Maou!,Fantasy,TV,78,7.88,https://cdn.myanimelist.net/images/anime/11/75544.jpg
280,Animal Yokochou,Fantasy,TV,51,7.04,https://cdn.myanimelist.net/images/anime/5/53409.jpg
293,Di Gi Charat,Fantasy,TV,16,6.85,https://cdn.myanimelist.net/images/anime/6/18815.jpg
300,3x3 Eyes,Fantasy,OVA,4,6.97,https://cdn.myanimelist.net/images/anime/4/26940.jpg
306,Abenobashi MahouÃ¢Ëœâ€ Shoutengai,Fantasy,TV,13,7.38,https://cdn.myanimelist.net/images/anime/1350/113655.jpg
307,Kerokko Demetan,Fantasy,TV,39,6.04,https://cdn.myanimelist.net/images/anime/1807/108565.jpg
315,Xiao Qian,Fantasy,Movie,1,6.76,https://cdn.myanimelist.net/images/anime/8/28202.jpg
317,Final Fantasy VII: Advent Children,Fantasy,Movie,1,7.94,https://cdn.myanimelist.net/images/anime/1/317.jpg
319,Happy World!,Fantasy,OVA,3,6.11,https://cdn.myanimelist.net/images/anime/1198/116659.jpg
327,Puchi Puri Yuushi,Fantasy,TV,26,7.54,https://cdn.myanimelist.net/images/anime/6/20142.jpg
331,Mahoujin Guru Guru,Fantasy,TV,45,7.75,https://cdn.myanimelist.net/images/anime/2/75814.jpg
332,Dokidoki Densetsu: Mahoujin Guru Guru,Fantasy,TV,38,7.42,https://cdn.myanimelist.net/images/anime/1153/134019.jpg
336,Ginyuu Mokushiroku Meine Liebe,Fantasy,TV,13,6.54,https://cdn.myanimelist.net/images/anime/11/75547.jpg
348,Binzume Yousei,Fantasy,TV,13,6.55,https://cdn.myanimelist.net/images/anime/3/16917.jpg
349,Magical Canan,Fantasy,TV,13,6.42,https://cdn.myanimelist.net/images/anime/10/75560.jpg
352,Motto! Ojamajo Doremi,Fantasy,TV,50,7.29,https://cdn.myanimelist.net/images/anime/5/36629.jpg
360,Himiko-den,Fantasy,TV,12,6.4,https://cdn.myanimelist.net/images/anime/8/80544.jpg
367,Akazukin Chacha OVA,Fantasy,OVA,3,7.2,https://cdn.myanimelist.net/images/anime/1404/95392.jpg
371,Cardcaptor Sakura Movie 1,Fantasy,Movie,1,7.74,https://cdn.myanimelist.net/images/anime/1733/90336.jpg
389,Karas,Fantasy,OVA,6,7.54,https://cdn.myanimelist.net/images/anime/1054/98245.jpg
391,Tales of Phantasia The Animation,Fantasy,OVA,4,6.96,https://cdn.myanimelist.net/images/anime/11/78319.jpg
392,YuuÃ¢Ëœâ€ YuuÃ¢Ëœâ€ Hakusho,Fantasy,TV,112,8.47,https://cdn.myanimelist.net/images/anime/1228/111372.jpg
402,Otogi Juushi Akazukin OVA,Fantasy,OVA,1,6.7,https://cdn.myanimelist.net/images/anime/3/3243.jpg
