anime_id,name,genre,_type,episodes,rating,img_link
203,Words Worth,Hentai,OVA,5,6.9,https://cdn.myanimelist.net/images/anime/12/6030.jpg
211,Pure Mail,Hentai,OVA,2,6.37,https://cdn.myanimelist.net/images/anime/1518/112232.jpg
213,Pia Carrot e Youkoso!!,Hentai,OVA,3,6.19,https://cdn.myanimelist.net/images/anime/1111/116093.jpg
214,Pia Carrot e Youkoso!! 2,Hentai,OVA,3,6.39,https://cdn.myanimelist.net/images/anime/1610/116094.jpg
217,Shin Angel,Hentai,OVA,5,6.49,https://cdn.myanimelist.net/images/anime/1268/119710.jpg
220,Kuro no Danshou,Hentai,OVA,4,6.05,https://cdn.myanimelist.net/images/anime/10/29841.jpg
221,Mezzo Forte,Hentai,OVA,2,6.75,https://cdn.myanimelist.net/images/anime/6/37391.jpg
316,Nageki no Kenkou Yuuryouji,Hentai,OVA,3,6.4,https://cdn.myanimelist.net/images/anime/9/41561.jpg
320,A Kite,Hentai,OVA,2,6.72,https://cdn.myanimelist.net/images/anime/1224/113092.jpg
368,Bible Black,Hentai,OVA,6,6.88,https://cdn.myanimelist.net/images/anime/13/12768.jpg
651,Green Green Thirteen: Erolutions,Hentai,OVA,1,6.26,https://cdn.myanimelist.net/images/anime/7/3470.jpg
692,Dousou Kai,Hentai,OVA,4,5.96,https://cdn.myanimelist.net/images/anime/1951/116056.jpg
724,Enzai,Hentai,OVA,2,5.55,https://cdn.myanimelist.net/images/anime/2/24031.jpg
736,Keiraku no Houteishiki Level-C,Hentai,OVA,1,6.01,https://cdn.myanimelist.net/images/anime/1016/90268.jpg
753,Chijoku Shinsatsushitsu,Hentai,OVA,2,6.38,https://cdn.myanimelist.net/images/anime/1200/111783.jpg
755,Boku no Sexual Harassment,Hentai,OVA,3,5.96,https://cdn.myanimelist.net/images/anime/8/33163.jpg
823,Virgin Night,Hentai,OVA,1,6.55,https://cdn.myanimelist.net/images/anime/9/80149.jpg
827,Uba,Hentai,OVA,2,6,https://cdn.myanimelist.net/images/anime/1318/119766.jpg
828,Jinshin Yuugi,Hentai,OVA,2,5.97,https://cdn.myanimelist.net/images/anime/11/5966.jpg
830,Sexfriend,Hentai,OVA,2,6.79,https://cdn.myanimelist.net/images/anime/11/41591.jpg
972,Bible Black Gaiden,Hentai,OVA,2,6.89,https://cdn.myanimelist.net/images/anime/10/70481.jpg
1038,Mizuiro,Hentai,OVA,2,6.07,https://cdn.myanimelist.net/images/anime/12/9394.jpg
1113,One: Kagayaku Kisetsu e - True Stories,Hentai,OVA,3,6.37,https://cdn.myanimelist.net/images/anime/4/41603.jpg
1263,Suika,Hentai,OVA,3,6.64,https://cdn.myanimelist.net/images/anime/8/41613.jpg
1275,Can Can Bunny Extra,Hentai,OVA,6,6.39,https://cdn.myanimelist.net/images/anime/1540/116121.jpg
1331,Dragon Pink,Hentai,OVA,3,6.32,https://cdn.myanimelist.net/images/anime/4/62813.jpg
1339,Cool Devices,Hentai,OVA,11,6.41,https://cdn.myanimelist.net/images/anime/1505/103904.jpg
1353,The Urotsuki,Hentai,OVA,3,6.01,https://cdn.myanimelist.net/images/anime/1971/119708.jpg
1359,Nikutai Ten&#039;i,Hentai,OVA,2,6.47,https://cdn.myanimelist.net/images/anime/1724/113147.jpg
1360,Makai Tenshi Djibril,Hentai,OVA,4,6.61,https://cdn.myanimelist.net/images/anime/12/37381.jpg
1385,Kurohime: Shikkoku no Yakata,Hentai,OVA,2,6.05,https://cdn.myanimelist.net/images/anime/1025/113167.jpg
1386,Blood Royale,Hentai,OVA,2,5.84,https://cdn.myanimelist.net/images/anime/1344/113171.jpg
1387,Yakin Byoutou,Hentai,OVA,10,6.55,https://cdn.myanimelist.net/images/anime/1839/114163.jpg
1388,Yakin Byoutou Ni,Hentai,OVA,5,6.38,https://cdn.myanimelist.net/images/anime/10/44273.jpg
1389,Yakin Byoutou San,Hentai,OVA,3,6.49,https://cdn.myanimelist.net/images/anime/12/4975.jpg
1390,Parade Parade,Hentai,OVA,2,6.17,https://cdn.myanimelist.net/images/anime/1267/111778.jpg
1401,Bible Black: New Testament,Hentai,OVA,6,6.95,https://cdn.myanimelist.net/images/anime/1212/103884.jpg
1402,Princess Memory,Hentai,OVA,2,5.76,https://cdn.myanimelist.net/images/anime/1331/112073.jpg
1403,Tsumamigui,Hentai,OVA,2,6.55,https://cdn.myanimelist.net/images/anime/11/57175.jpg
1404,Flutter of Birds: Tori-tachi no Habataki,Hentai,OVA,2,5.93,https://cdn.myanimelist.net/images/anime/6/41593.jpg
1405,Tokio Kidou Police,Hentai,OVA,2,6.14,https://cdn.myanimelist.net/images/anime/8/2826.jpg
1406,Gibo,Hentai,OVA,2,6.1,https://cdn.myanimelist.net/images/anime/8/24131.jpg
1407,Stainless Night,Hentai,OVA,2,6.29,https://cdn.myanimelist.net/images/anime/3/62803.jpg
1408,Kao no nai Tsuki,Hentai,OVA,5,6.86,https://cdn.myanimelist.net/images/anime/2/7582.jpg
1499,MaMa,Hentai,OVA,2,5.44,https://cdn.myanimelist.net/images/anime/6/51351.jpg
1510,Imouto de Ikou!,Hentai,OVA,2,6.36,https://cdn.myanimelist.net/images/anime/5/85964.jpg
1511,Gakuen: Chijoku no Zushiki,Hentai,OVA,2,5.61,https://cdn.myanimelist.net/images/anime/13/4144.jpg
1512,Court no Naka no Tenshi-tachi,Hentai,OVA,2,6.02,https://cdn.myanimelist.net/images/anime/1596/113226.jpg
