anime_id,name,genre,_type,episodes,rating,img_link
7,Witch Hunter Robin,Mystery,TV,26,7.36,https://cdn.myanimelist.net/images/anime/10/19969.jpg
19,Monster,Mystery,TV,74,8.72,https://cdn.myanimelist.net/images/anime/10/18793.jpg
48,.hack//Sign,Mystery,TV,26,7.14,https://cdn.myanimelist.net/images/anime/1443/94665.jpg
150,Blood+,Mystery,TV,50,7.8,https://cdn.myanimelist.net/images/anime/10/10183.jpg
188,Gosenzo San&#039;e,Mystery,OVA,4,6.38,https://cdn.myanimelist.net/images/anime/13/78241.jpg
198,Speed Grapher,Mystery,TV,24,7.46,https://cdn.myanimelist.net/images/anime/13/12343.jpg
202,Wolf&#039;s Rain,Mystery,TV,26,7.93,https://cdn.myanimelist.net/images/anime/5/59403.jpg
208,R.O.D OVA,Mystery,OVA,3,7.78,https://cdn.myanimelist.net/images/anime/1824/98849.jpg
222,Mezzo DSA,Mystery,TV,13,6.78,https://cdn.myanimelist.net/images/anime/9/3235.jpg
228,Jigoku Shoujo,Mystery,TV,26,7.79,https://cdn.myanimelist.net/images/anime/4/86907.jpg
235,Detective Conan,Mystery,TV,Unknown,8.25,https://cdn.myanimelist.net/images/anime/7/75199.jpg
279,Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,Mystery,TV,13,7.27,https://cdn.myanimelist.net/images/anime/2/30681.jpg
299,.hack//Liminality,Mystery,OVA,4,6.74,https://cdn.myanimelist.net/images/anime/7/23079.jpg
323,Mousou Dairinin,Mystery,TV,13,7.74,https://cdn.myanimelist.net/images/anime/7/10240.jpg
326,Petshop of Horrors,Mystery,TV,4,7.41,https://cdn.myanimelist.net/images/anime/10/64543.jpg
341,Spiral: Suiri no Kizuna,Mystery,TV,25,7.38,https://cdn.myanimelist.net/images/anime/1771/92118.jpg
364,Gallery Fake,Mystery,TV,37,7.62,https://cdn.myanimelist.net/images/anime/10/30129.jpg
