anime_id,name,genre,_type,episodes,rating,img_link
24,School Rumble,Romance,TV,26,8.06,https://cdn.myanimelist.net/images/anime/4/75488.jpg
33,Berserk,Romance,TV,25,8.4,https://cdn.myanimelist.net/images/anime/1384/119988.jpg
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Romance,OVA,4,8.83,https://cdn.myanimelist.net/images/anime/1656/137618.jpg
45,Rurouni Kenshin: Meiji Kenkaku Romantan,Romance,TV,94,8.43,https://cdn.myanimelist.net/images/anime/1346/119505.jpg
49,Aa! Megami-sama!,Romance,OVA,5,7.41,https://cdn.myanimelist.net/images/anime/11/71215.jpg
50,Aa! Megami-sama! (TV),Romance,TV,24,7.45,https://cdn.myanimelist.net/images/anime/1976/99376.jpg
51,Tenshi Kinryouku,Romance,OVA,3,6.46,https://cdn.myanimelist.net/images/anime/11/45208.jpg
53,Ai Yori Aoshi,Romance,TV,24,7.24,https://cdn.myanimelist.net/images/anime/7/10172.jpg
60,Chrno Crusade,Romance,TV,24,7.8,https://cdn.myanimelist.net/images/anime/13/14141.jpg
61,D.N.Angel,Romance,TV,26,7.35,https://cdn.myanimelist.net/images/anime/1126/98904.jpg
63,DearS,Romance,TV,12,6.8,https://cdn.myanimelist.net/images/anime/1207/98872.jpg
67,Basilisk: Kouga Ninpou Chou,Romance,TV,24,7.68,https://cdn.myanimelist.net/images/anime/1103/133549.jpg
79,Shuffle!,Romance,TV,24,7.31,https://cdn.myanimelist.net/images/anime/1290/133860.jpg
81,Mobile Suit Gundam: The 08th MS Team,Romance,OVA,12,8.13,https://cdn.myanimelist.net/images/anime/9/75618.jpg
83,Mobile Suit Gundam: The 08th MS Team - Miller&#039;s Report,Romance,Movie,1,6.95,https://cdn.myanimelist.net/images/anime/1132/100198.jpg
98,Mai-HiME,Romance,TV,26,7.59,https://cdn.myanimelist.net/images/anime/13/7226.jpg
100,Shin Shirayuki-hime Densetsu PrÃƒÂ©tear,Romance,TV,13,7.33,https://cdn.myanimelist.net/images/anime/9/11709.jpg
101,Air,Romance,TV,13,7.48,https://cdn.myanimelist.net/images/anime/8/22059.jpg
102,Aishiteruze BabyÃ¢Ëœâ€¦Ã¢Ëœâ€¦,Romance,TV,26,7.58,https://cdn.myanimelist.net/images/anime/2/69665.jpg
103,Akazukin Chacha,Romance,TV,74,7.48,https://cdn.myanimelist.net/images/anime/1098/108972.jpg
104,Ayashi no Ceres,Romance,TV,24,7.38,https://cdn.myanimelist.net/images/anime/1928/106202.jpg
106,Hana yori Dango,Romance,TV,51,7.9,https://cdn.myanimelist.net/images/anime/2/42871.jpg
119,Final Approach,Romance,TV,13,6.69,https://cdn.myanimelist.net/images/anime/11/14607.jpg
120,Fruits Basket,Romance,TV,26,7.8,https://cdn.myanimelist.net/images/anime/4/75204.jpg
122,Full Moon wo Sagashite,Romance,TV,52,8.08,https://cdn.myanimelist.net/images/anime/1900/99154.jpg
123,Fushigi Yuugi,Romance,TV,52,7.77,https://cdn.myanimelist.net/images/anime/2/20140.jpg
124,Fushigi Yuugi: Eikouden,Romance,OVA,4,7,https://cdn.myanimelist.net/images/anime/11/67701.jpg
