anime_id,name,genre,_type,episodes,rating,img_link
1,Cowboy Bebop,Sci-Fi,TV,26,8.82,https://cdn.myanimelist.net/images/anime/4/19644.jpg
5,Cowboy Bebop: Tengoku no Tobira,Sci-Fi,Movie,1,8.4,https://cdn.myanimelist.net/images/anime/1439/93480.jpg
25,Sunabouzu,Sci-Fi,TV,24,7.55,https://cdn.myanimelist.net/images/anime/6/75536.jpg
29,Zipang,Sci-Fi,TV,26,7.56,https://cdn.myanimelist.net/images/anime/13/75740.jpg
43,Ghost in the Shell,Sci-Fi,Movie,1,8.34,https://cdn.myanimelist.net/images/anime/10/82594.jpg
47,Akira,Sci-Fi,Movie,1,8.15,https://cdn.myanimelist.net/images/anime/1408/114012.jpg
54,Appleseed (Movie),Sci-Fi,Movie,1,7.21,https://cdn.myanimelist.net/images/anime/9/57231.jpg
56,Avenger,Sci-Fi,TV,13,6.02,https://cdn.myanimelist.net/images/anime/13/19921.jpg
58,Blue Gender,Sci-Fi,TV,26,7.13,https://cdn.myanimelist.net/images/anime/1/2023.jpg
59,Chobits,Sci-Fi,TV,26,7.57,https://cdn.myanimelist.net/images/anime/4/24648.jpg
80,Mobile Suit Gundam,Sci-Fi,TV,43,7.89,https://cdn.myanimelist.net/images/anime/5/88524.jpg
82,Mobile Suit Gundam 0080: War in the Pocket,Sci-Fi,OVA,6,7.85,https://cdn.myanimelist.net/images/anime/1/82.jpg
84,Mobile Suit Gundam 0083: Stardust Memory,Sci-Fi,OVA,13,7.47,https://cdn.myanimelist.net/images/anime/13/26654.jpg
85,Mobile Suit Zeta Gundam,Sci-Fi,TV,50,8.03,https://cdn.myanimelist.net/images/anime/6/11153.jpg
86,Mobile Suit Gundam ZZ,Sci-Fi,TV,47,6.81,https://cdn.myanimelist.net/images/anime/1848/91078.jpg
87,Mobile Suit Gundam: Char&#039;s Counterattack,Sci-Fi,Movie,1,7.81,https://cdn.myanimelist.net/images/anime/1523/92371.jpg
88,Mobile Suit Gundam F91,Sci-Fi,Movie,1,6.9,https://cdn.myanimelist.net/images/anime/1637/95288.jpg
89,Mobile Suit Victory Gundam,Sci-Fi,TV,51,6.98,https://cdn.myanimelist.net/images/anime/1913/102693.jpg
90,Mobile Suit Gundam Wing,Sci-Fi,TV,49,7.87,https://cdn.myanimelist.net/images/anime/1884/114414.jpg
91,Mobile Suit Gundam Wing: Endless Waltz,Sci-Fi,OVA,3,7.87,https://cdn.myanimelist.net/images/anime/1061/97444.jpg
92,After War Gundam X,Sci-Fi,TV,39,7.39,https://cdn.myanimelist.net/images/anime/10/16054.jpg
93,Mobile Suit Gundam Seed,Sci-Fi,TV,50,7.93,https://cdn.myanimelist.net/images/anime/1792/91081.jpg
94,Mobile Suit Gundam Seed Destiny,Sci-Fi,TV,50,7.36,https://cdn.myanimelist.net/images/anime/1700/91080.jpg
95,Turn A Gundam,Sci-Fi,TV,50,7.76,https://cdn.myanimelist.net/images/anime/4/78330.jpg
96,Mobile Fighter G Gundam,Sci-Fi,TV,49,7.62,https://cdn.myanimelist.net/images/anime/1187/133654.jpg
107,Ou Dorobou Jing,Sci-Fi,TV,13,7.34,https://cdn.myanimelist.net/images/anime/1961/92115.jpg
112,Chou Henshin Cosprayers,Sci-Fi,TV,8,5.11,https://cdn.myanimelist.net/images/anime/5/75236.jpg
113,Uchuu no Stellvia,Sci-Fi,TV,26,7.49,https://cdn.myanimelist.net/images/anime/1587/134660.jpg
127,Gate Keepers,Sci-Fi,TV,24,7.07,https://cdn.myanimelist.net/images/anime/12/15226.jpg
128,Gate Keepers 21,Sci-Fi,OVA,6,6.9,https://cdn.myanimelist.net/images/anime/6/75569.jpg
151,Re: Cutie Honey,Sci-Fi,OVA,3,7.16,https://cdn.myanimelist.net/images/anime/6/52103.jpg
152,Solty Rei,Sci-Fi,TV,24,7.38,https://cdn.myanimelist.net/images/anime/3/75582.jpg
